film,filmLabel,locationLabel,boxOffice
http://www.wikidata.org/entity/Q182212,Человек-паук 3: Враг в отражении,Лос-Анджелес,890871626
http://www.wikidata.org/entity/Q182212,Человек-паук 3: Враг в отражении,Нью-Джерси,890871626
http://www.wikidata.org/entity/Q182212,Человек-паук 3: Враг в отражении,Уан-Чейз-Манхэттен-Плаза,890871626
http://www.wikidata.org/entity/Q182373,Индиана Джонс и Королевство хрустального черепа,Лос-Анджелес,790653942
http://www.wikidata.org/entity/Q182373,Индиана Джонс и Королевство хрустального черепа,Калифорния,790653942
http://www.wikidata.org/entity/Q182373,Индиана Джонс и Королевство хрустального черепа,Коннектикут,790653942
http://www.wikidata.org/entity/Q182373,Индиана Джонс и Королевство хрустального черепа,Гавайи,790653942
http://www.wikidata.org/entity/Q182373,Индиана Джонс и Королевство хрустального черепа,Нью-Мексико,790653942
http://www.wikidata.org/entity/Q184605,2012,Ванкувер,791217826
http://www.wikidata.org/entity/Q190145,Человек-паук 2,Нью-Йорк,788976453
http://www.wikidata.org/entity/Q190145,Человек-паук 2,Лос-Анджелес,788976453
